díogach,diːɡəx
uingeach,ʊɪnɡæx
luimneach,lʊɪmnæx
fual-lamhnán,fʊəl-lavnán
cuachadh,kʊəxaɣ
gríobh,ɡrɪ́ɔv
blagaid,blaɡaːd
leibidínteacht,lɛɪbɪdɪ́ntæxt
léibheann,lɛ́ɪvænˠ
leithreasaigh,lɛɪhræsaːɣ
dáileach,dáɪlæx
baraiseismeach,baraːsɛɪsmæx
méadláil,mɛ́adláɪl
brúchneá,brʊ́xnǽ
geirspota,ɡɛɪrspɔta
rothadóir,rɔhadɔ́ɪr
baothghlóir,baɔhɣlɔ́ɪr
scrabh,skrav
Dúitseach,Dʊ́ɪtsæx
neascóid,næskɔ́ɪd
bánghnéitheach,bánɣnɛ́ɪhæx
siotaíl,sɔːtaː́l
fachtóir,faxtɔ́ɪr
gabhdóg,ɡavdɔ́ɡ
mírath,mɪ́rah
dabha,dava
vearúca,værʊ́ka
drochsheans,drɔxhæns
bómántacht,bɔ́mántaxt
spárálaí,spárálaː́
seasta,sæsta
leisíneach,lɛɪsɪ́næx
durnánaí,dʊrnánaː́
niatacht,nɪataxt
táibhleach,táɪvlæx
comhdhéanta,kɔvɣɛ́anta
réal,rɛ́al
feochraigh,fɔːxraːɣ
doirb,dɪːrb
camall,kamalˠ
fuaimint,fʊəːmɪnt
giobal,ɡɔːbal
fuaimintiúil,fʊəːmɪntɪʊ́ɪl
sláinteachas,sláɪntæxas
stéaráit,stɛ́aráɪt
tointe,tɪːntɛ
únfartálaí,ʊ́nfartálaː́
athghin,ahɣɪn
droimneach,drɪːmnæx
iarmhéil,ɪarvɛ́ɪl
bithlonrach,bɪhlɔnrax
braimleog,braːmlɔːɡ
Iarúbach,Iarʊ́bax
aisig,aːsɪɡ
scól,skɔ́l
gealadh,ɡælaɣ
pearsanta,pærsanta
mionpheannaireacht,mɔːnfænˠaːræxt
cumaidh,kʊmaːɣ
ógfhear,ɔ́ɡær
broicéadaigh,brɪːkɛ́adaːɣ
tungstáit,tʊnɡstáɪt
snapadh,snapaɣ
foibhé,fɪːvɛ́
carbóinil,karbɔ́ɪnɪl
díbheirg,dɪ́vɛɪrɡ
míogadán,mɪ́ɔɡadán
scoiltire,skɪːltɪrɛ
tuile,tʊɪlɛ
geiltghlinneach,ɡɛɪltɣlɪnˠæx
soscéala,sɔskɛ́ala
píoráideach,pɪ́ɔráɪdæx
olmóid,ɔlmɔ́ɪd
leath-thunna,læh-hʊnˠa
breacán,brækán
fophláinéad,fɔfláɪnɛ́ad
briotais,brɔːtaːs
labharthacht,lavarhaxt
tóc,tɔ́k
débhunata,dɛ́vʊnata
jabrothlú,jabrɔhlʊ́
Oráisteachas,Oráɪstæxas
séidtriomaigh,sɛ́ɪdtrɔːmaːɣ
faillitheacht,faːlˠɪhæxt
roillimint,rɪːlˠɪmɪnt
marcshlua,marxlʊə
bainniúlacht,baːnˠɪʊ́laxt
leataobh,lætaɔv
giolc,ɡɔːlk
gleacaíoch,ɡlækaː́ɔx
dreoilín,drɔːɪlɪ́n
ruibh,rʊɪv
oirní,ɪːrnɪ́
toice,tɪːkɛ
imshocraigh,ɪmhɔkraːɣ
gríoscóir,ɡrɪ́ɔskɔ́ɪr
moiglíocht,mɪːɡlɪ́ɔxt
náibhíocht,náɪvɪ́ɔxt
magarlach,maɡarlax
fochma,fɔxma
cruthaigh,krʊhaːɣ
meathchodladh,mæhxɔdlaɣ
coimircíocht,kɪːmɪrkɪ́ɔxt
tiontaire,tɔːntaːrɛ
Breatnach,Brætnax
mórphianó,mɔ́rfɪanɔ́
gusta,ɡʊsta
sainmharc,saːnvark
ardfhuil,ardʊɪl
ainhiodráis,aːnhɔːdráɪs
mórtasach,mɔ́rtasax
idirlinn,ɪdɪrlɪnˠ
aitéiriscléaróis,aːtɛ́ɪrɪsklɛ́arɔ́ɪs
forleithne,fɔrlɛɪhnɛ
ainmhian,aːnvɪan
cóbalt,kɔ́balt
corpoiliúint,kɔrpɪːlɪʊ́ɪnt
sreangadóir,srænɡadɔ́ɪr
seiric,sɛɪrɪk
báire,báɪrɛ
péacánach,pɛ́akánax
eala,æla
ardcheann,ardxænˠ
bearnaíl,bærnaː́l
státchiste,státxɪstɛ
bolgam,bɔlɡam
eitneacht,ɛɪtnæxt
cúrsaigh,kʊ́rsaːɣ
reáchtáil,rǽxtáɪl
teiliprintéir,tɛɪlɪprɪntɛ́ɪr
scairbharántas,skaːrvarántas
sciata,skɪata
uathoibriú,ʊəhɪːbrɪʊ́
smíochtóir,smɪ́ɔxtɔ́ɪr
canúáil,kanʊ́áɪl
leadán,lædán
glúinfheacadh,ɡlʊ́ɪnækaɣ
buachalán,bʊəxalán
gaobhardach,ɡaɔvardax
ollbhille,ɔlˠvɪlˠɛ
meill,mɛɪlˠ
cúlfhiacail,kʊ́lɪakaːl
cilibheart,kɪlɪvært
bia-eolaíocht,bɪa-ɔːlaː́ɔxt
ullmhaitheach,ʊlˠvaːhæx
Giúdach,Gɪʊ́dax
diachair,dɪaxaːr
cabhaileog,kavaːlɔːɡ
buitléireacht,bʊɪtlɛ́ɪræxt
comhthonachas,kɔvhɔnaxas
coimhlinteach,kɪːvlɪntæx
ailbíneach,aːlbɪ́næx
smuigín,smʊɪɡɪ́n
nogadh,nɔɡaɣ
plucáil,plʊkáɪl
callas,kalˠas
maindilín,maːndɪlɪ́n
luascáil,lʊəskáɪl
comhthomhaiseach,kɔvhɔvaːsæx
tuathghríosú,tʊəhɣrɪ́ɔsʊ́
torpa,tɔrpa
cuandú,kʊəndʊ́
iomasachas,ɔːmasaxas
gluaisteach,ɡlʊəːstæx
móibíl,mɔ́ɪbɪ́l
faraire,faraːrɛ
tachtach,taxtax
láínteacht,láɪ́ntæxt
leathphunt,læhfʊnt
stíleáil,stɪ́lǽɪl
fraecsálaí,fraɛksálaː́
éagaoine,ɛ́aɡaɪːnɛ
suthach,sʊhax
tríphlána,trɪ́flána
gónad,ɡɔ́nad
plancord,plankɔrd
triail,trɪaːl
banúlacht,banʊ́laxt
deimheasach,dɛɪvæsax
bleibín,blɛɪbɪ́n
sainuimhir,saːnʊɪvɪr
comhdheas,kɔvɣæs
dioplómaitic,dɔːplɔ́maːtɪk
leasaitheoir,læsaːhɔːɪr
tlás,tlás
coire,kɪːrɛ
plait,plaːt
deilm,dɛɪlm
údarásacht,ʊ́darásaxt
gnáthmhuintir,ɡnáhvʊɪntɪr
