díogach,diːɡəx
geirspota,ɡɛɪrspɔta
rothadóir,rɔhadɔɪr
baothghlóir,baɔhɣlɔɪr
scrabh,skrav
Dúitseach,dʊɪtsæx
neascóid,næskɔɪd
bánghnéitheach,banɣnɛɪhæx
siotaíl,sɔːtaːl
fachtóir,faxtɔɪr
gabhdóg,ɡavdɔɡ
mírath,mɪrah
dabha,dava
vearúca,værʊka
drochsheans,drɔxhæns
bómántacht,bɔmantaxt
spárálaí,sparalaː
seasta,sæsta
leisíneach,lɛɪsɪnæx
durnánaí,dʊrnanaː
niatacht,nɪataxt
táibhleach,taɪvlæx
comhdhéanta,kɔvɣɛanta
réal,rɛal
feochraigh,fɔːxraːɣ
doirb,dɪːrb
camall,kamalˠ
fuaimint,fʊəːmɪnt
giobal,ɡɔːbal
fuaimintiúil,fʊəːmɪntɪʊɪl
sláinteachas,slaɪntæxas
stéaráit,stɛaraɪt
tointe,tɪːntɛ
únfartálaí,ʊnfartalaː
athghin,ahɣɪn
droimneach,drɪːmnæx
iarmhéil,ɪarvɛɪl
bithlonrach,bɪhlɔnrax
braimleog,braːmlɔːɡ
Iarúbach,iarʊbax
aisig,aːsɪɡ
scól,skɔl
gealadh,ɡælaɣ
pearsanta,pærsanta
mionpheannaireacht,mɔːnfænˠaːræxt
cumaidh,kʊmaːɣ
ógfhear,ɔɡær
broicéadaigh,brɪːkɛadaːɣ
tungstáit,tʊnɡstaɪt
snapadh,snapaɣ
foibhé,fɪːvɛ
carbóinil,karbɔɪnɪl
díbheirg,dɪvɛɪrɡ
míogadán,mɪɔɡadan
scoiltire,skɪːltɪrɛ
tuile,tʊɪlɛ
geiltghlinneach,ɡɛɪltɣlɪnˠæx
soscéala,sɔskɛala
píoráideach,pɪɔraɪdæx
olmóid,ɔlmɔɪd
leath-thunna,læh-hʊnˠa
breacán,brækan
fophláinéad,fɔflaɪnɛad
briotais,brɔːtaːs
labharthacht,lavarhaxt
tóc,tɔk
débhunata,dɛvʊnata
jabrothlú,jabrɔhlʊ
Oráisteachas,oraɪstæxas
séidtriomaigh,sɛɪdtrɔːmaːɣ
faillitheacht,faːlˠɪhæxt
roillimint,rɪːlˠɪmɪnt
marcshlua,marxlʊə
bainniúlacht,baːnˠɪʊlaxt
leataobh,lætaɔv
giolc,ɡɔːlk
gleacaíoch,ɡlækaːɔx
dreoilín,drɔːɪlɪn
ruibh,rʊɪv
oirní,ɪːrnɪ
toice,tɪːkɛ
imshocraigh,ɪmhɔkraːɣ
gríoscóir,ɡrɪɔskɔɪr
moiglíocht,mɪːɡlɪɔxt
náibhíocht,naɪvɪɔxt
magarlach,maɡarlax
fochma,fɔxma
cruthaigh,krʊhaːɣ
meathchodladh,mæhxɔdlaɣ
coimircíocht,kɪːmɪrkɪɔxt
tiontaire,tɔːntaːrɛ
Breatnach,brætnax
mórphianó,mɔrfɪanɔ
gusta,ɡʊsta
sainmharc,saːnvark
ardfhuil,ardʊɪl
ainhiodráis,aːnhɔːdraɪs
mórtasach,mɔrtasax
